Timestamp(ms),Current(uA),D0-D7
842640,11134.991,00000000
842650,11306.102,00000000
842660,10850.489,00000000
842670,11051.250,00000000
842680,11189.361,00000000
842690,11019.739,00000000
842700,10879.360,00000000
842710,10583.204,00000000
842720,11076.980,00000000
842730,11002.255,00000000
842740,11409.543,00000000
842750,11035.068,00000000
842760,11210.183,00000000
842770,10838.986,00000000
842780,10867.375,00000000
842790,11241.554,00000000
842800,11046.241,00000000
842810,11214.283,00000000
842820,10727.771,00000000
842830,11280.111,00000000
842840,11281.596,00000000
842850,10851.385,00000000
842860,11297.613,00000000
842870,11535.761,00000000
842880,11689.397,00000000
842890,10950.793,00000000
842900,10823.218,00000000
842910,10583.176,00000000
842920,10735.107,00000000
842930,10925.802,00000000
842940,11136.427,00000000
842950,11243.438,00000000
842960,10800.590,00000000
842970,11142.701,00000000
842980,10867.529,00000000
842990,10988.206,00000000
843000,11030.663,00000000
843010,10974.976,00000000
843020,11115.449,00000000
843030,10888.368,00000000
843040,10577.122,00000000
843050,10744.935,00000000
843060,10879.189,00000000
843070,10805.625,00000000
843080,11280.134,00000000
843090,11410.038,00000000
843100,10876.535,00000000
843110,10943.700,00000000
843120,10805.205,00000000
843130,10839.914,00000000
843140,10530.054,00000000
843150,10771.499,00000000
843160,10727.725,00000000
843170,11055.214,00000000
843180,10672.033,00000000
843190,10708.808,00000000
843200,11179.732,00000000
843210,11085.591,00000000
843220,10751.876,00000000
843230,11286.081,00000000
843240,11097.761,00000000
843250,10820.818,00000000
843260,11334.384,00000000
843270,10882.145,00000000
843280,10670.290,00000000
843290,10763.433,00000000
843300,11094.799,00000000
843310,11442.551,00000000
843320,10939.690,00000000
843330,10985.326,00000000
843340,10932.209,00000000
843350,11351.312,00000000
843360,11490.006,00000000
843370,10933.810,00000000
843380,11558.864,00000000
843390,11298.044,00000000
843400,11162.632,00000000
843410,11330.102,00000000
843420,11499.593,00000000
843430,11465.054,00000000
843440,11277.104,00000000
843450,10667.642,00000000
843460,10936.236,00000000
843470,10541.080,00000000
843480,11054.052,00000000
843490,11228.836,00000000
843500,11023.099,00000000
843510,11004.264,00000000
843520,10802.441,00000000
843530,11453.568,00000000
843540,11254.535,00000000
843550,10758.475,00000000
843560,11343.326,00000000
843570,11240.314,00000000
843580,11205.652,00000000
843590,11108.188,00000000
843600,11372.553,00000000
843610,11149.454,00000000
843620,11497.358,00000000
843630,11299.733,00000000
843640,11058.851,00000000
843650,10754.470,00000000
843660,11060.965,00000000
843670,10863.537,00000000
843680,11386.307,00000000
843690,11034.624,00000000
843700,11340.098,00000000
843710,10987.912,00000000
843720,11135.851,00000000
843730,11359.608,00000000
843740,10968.693,00000000
843750,11021.360,00000000
843760,11420.160,00000000
843770,11355.155,00000000
843780,11324.551,00000000
843790,11176.627,00000000
843800,11468.451,00000000
843810,11122.621,00000000
843820,11016.484,00000000
843830,11080.824,00000000
843840,11155.182,00000000
