Timestamp(ms),Current(uA),D0-D7
302640,10322.015,00000000
302650,10674.449,00000000
302660,10563.491,00000000
302670,10992.703,00000000
302680,10884.508,00000000
302690,11340.741,00000000
302700,10665.822,00000000
302710,10665.320,00000000
302720,10747.268,00000000
302730,10640.486,00000000
302740,10708.057,00000000
302750,10554.707,00000000
302760,10926.149,00000000
302770,10871.699,00000000
302780,10797.947,00000000
302790,10882.075,00000000
302800,10868.690,00000000
302810,10895.978,00000000
302820,10975.332,00000000
302830,11170.829,00000000
302840,11081.878,00000000
302850,10745.058,00000000
302860,10892.156,00000000
302870,10698.119,00000000
302880,10854.021,00000000
302890,11465.102,00000000
302900,10680.238,00000000
302910,10986.759,00000000
302920,10619.818,00000000
302930,11003.355,00000000
302940,10789.933,00000000
302950,11106.733,00000000
302960,10902.967,00000000
302970,11040.605,00000000
302980,10444.114,00000000
302990,10300.613,00000000
303000,10795.600,00000000
303010,10953.384,00000000
303020,10622.620,00000000
303030,10479.357,00000000
303040,10977.546,00000000
303050,10738.999,00000000
303060,10657.534,00000000
303070,10675.271,00000000
303080,10873.608,00000000
303090,11080.967,00000000
303100,11044.792,00000000
303110,10857.874,00000000
303120,10800.216,00000000
303130,10852.234,00000000
303140,10792.458,00000000
303150,10988.774,00000000
303160,11248.520,00000000
303170,10878.147,00000000
303180,11415.473,00000000
303190,11251.756,00000000
303200,10639.933,00000000
303210,10749.940,00000000
303220,11152.326,00000000
303230,10986.880,00000000
303240,11521.461,00000000
303250,11034.598,00000000
303260,10821.307,00000000
303270,11126.887,00000000
303280,11045.533,00000000
303290,10869.056,00000000
303300,10760.021,00000000
303310,11002.863,00000000
303320,11128.114,00000000
303330,10805.867,00000000
303340,11429.132,00000000
303350,10958.838,00000000
303360,10637.457,00000000
303370,10841.836,00000000
303380,11006.279,00000000
303390,11410.981,00000000
303400,10950.832,00000000
303410,10562.523,00000000
303420,10818.377,00000000
303430,10662.671,00000000
303440,10880.365,00000000
303450,10787.505,00000000
303460,11128.778,00000000
303470,10686.279,00000000
303480,11033.098,00000000
303490,10614.850,00000000
303500,10587.651,00000000
303510,10855.347,00000000
303520,10629.890,00000000
303530,11301.223,00000000
303540,10815.980,00000000
303550,11142.528,00000000
303560,10733.313,00000000
303570,10702.678,00000000
303580,11162.186,00000000
303590,10832.642,00000000
303600,11068.309,00000000
303610,10909.054,00000000
303620,11004.366,00000000
303630,11256.045,00000000
303640,10789.774,00000000
303650,10933.712,00000000
303660,10681.312,00000000
303670,10582.462,00000000
303680,11117.420,00000000
303690,11064.598,00000000
303700,10961.378,00000000
303710,10581.214,00000000
303720,11053.082,00000000
303730,11044.905,00000000
303740,11083.806,00000000
303750,10583.195,00000000
303760,10491.437,00000000
303770,10560.507,00000000
303780,10328.873,00000000
303790,10798.172,00000000
303800,10900.834,00000000
303810,10732.921,00000000
303820,10834.508,00000000
303830,10656.919,00000000
303840,10597.244,00000000
303850,10815.238,00000000
303860,10579.955,00000000
303870,11004.622,00000000
303880,10949.873,00000000
303890,10638.969,00000000
303900,10432.541,00000000
303910,10718.377,00000000
303920,10978.905,00000000
303930,10480.370,00000000
303940,10394.585,00000000
303950,10985.356,00000000
303960,10950.442,00000000
303970,11092.104,00000000
303980,11267.142,00000000
303990,11137.708,00000000
304000,11439.641,00000000
304010,11448.272,00000000
304020,11143.896,00000000
304030,10918.754,00000000
304040,10971.446,00000000
304050,11192.521,00000000
304060,10915.541,00000000
304070,11035.107,00000000
304080,11217.763,00000000
304090,10959.128,00000000
304100,11054.893,00000000
304110,11370.412,00000000
304120,10665.570,00000000
304130,10519.186,00000000
304140,11115.604,00000000
304150,11210.537,00000000
304160,11306.583,00000000
304170,11012.185,00000000
304180,10926.831,00000000
304190,10626.219,00000000
304200,10574.724,00000000
304210,11489.293,00000000
304220,11203.333,00000000
304230,11210.537,00000000
304240,10548.264,00000000
304250,10948.632,00000000
304260,10864.035,00000000
304270,10556.720,00000000
304280,11079.152,00000000
304290,11010.528,00000000
304300,11174.890,00000000
304310,10843.616,00000000
304320,10940.977,00000000
304330,10663.252,00000000
304340,11314.476,00000000
304350,10830.734,00000000
304360,11551.976,00000000
304370,11335.905,00000000
304380,10957.661,00000000
304390,10579.087,00000000
304400,11144.822,00000000
304410,10966.063,00000000
304420,11073.780,00000000
304430,11245.622,00000000
304440,11074.687,00000000
304450,10855.547,00000000
304460,11140.701,00000000
304470,10924.523,00000000
304480,10797.307,00000000
304490,10787.208,00000000
304500,11335.933,00000000
304510,11951.199,00000000
304520,11158.053,00000000
304530,11158.098,00000000
304540,10660.058,00000000
304550,10922.345,00000000
304560,10917.791,00000000
304570,10819.738,00000000
304580,11173.408,00000000
304590,10815.019,00000000
304600,10825.217,00000000
304610,11135.619,00000000
304620,11137.499,00000000
304630,11360.024,00000000
304640,11109.862,00000000
304650,10761.247,00000000
304660,10609.863,00000000
304670,10949.852,00000000
304680,10691.141,00000000
304690,10850.938,00000000
304700,10868.346,00000000
304710,11065.195,00000000
304720,11140.196,00000000
304730,10697.323,00000000
304740,10531.672,00000000
304750,10647.178,00000000
304760,10510.743,00000000
304770,10891.666,00000000
304780,11161.767,00000000
304790,11046.654,00000000
304800,11037.021,00000000
304810,11199.129,00000000
304820,10607.167,00000000
304830,11079.411,00000000
304840,11163.859,00000000
304850,11153.255,00000000
304860,11379.184,00000000
304870,10592.795,00000000
304880,10460.763,00000000
304890,10830.181,00000000
304900,10849.392,00000000
304910,11694.878,00000000
304920,11503.369,00000000
304930,11169.418,00000000
304940,10962.177,00000000
304950,10910.263,00000000
304960,11067.741,00000000
304970,10967.140,00000000
304980,10911.353,00000000
304990,11254.777,00000000
305000,11458.472,00000000
305010,11090.983,00000000
305020,10703.960,00000000
305030,10634.192,00000000
305040,10751.303,00000000
305050,11090.272,00000000
305060,10804.211,00000000
305070,11056.120,00000000
305080,10650.720,00000000
305090,10593.886,00000000
305100,10505.475,00000000
305110,10918.491,00000000
305120,10861.010,00000000
305130,11144.171,00000000
305140,11122.951,00000000
305150,10991.668,00000000
305160,10848.960,00000000
